Account,Month,Actuals,Budget,Forecast,Budget Variance,Forecast Variance
Affiliate Contracts,2022-01-01,-617.42,-617.0,-617.42,-0.4199999999999591,0.0
Affiliate Contracts,2022-02-01,-617.42,-617.0,-617.42,-0.4199999999999591,0.0
Affiliate Contracts,2022-03-01,-617.42,-617.0,-617.42,-0.4199999999999591,0.0
Affiliate Contracts,2022-04-01,-632.86,-617.0,-632.86,-15.860000000000014,0.0
Affiliate Contracts,2022-05-01,-632.86,-617.0,-632.86,-15.860000000000014,0.0
Affiliate Contracts,2022-06-01,-632.86,-617.0,-632.86,-15.860000000000014,0.0
Affiliate Contracts,2022-07-01,2296.14,-617.0,-632.86,2913.14,2929.0
Affiliate Contracts,2022-08-01,-2751.86,-617.0,-632.86,-2134.86,-2119.0
Affiliate Contracts,2022-09-01,-1612.8600000000001,-617.0,-632.86,-995.8600000000001,-980.0000000000001
Affiliate Contracts,2022-10-01,-90.86000000000013,-617.0,-632.86,526.1399999999999,541.9999999999999
Affiliate Contracts,2022-11-01,1104.1399999999999,-617.0,-632.86,1721.1399999999999,1737.0
Affiliate Contracts,2022-12-01,635.1399999999999,-617.0,-632.86,1252.1399999999999,1268.0
Affiliate Contracts,2023-01-01,-632.86,-633.0,-632.86,0.13999999999998636,0.0
Affiliate Contracts,2023-02-01,-632.86,-633.0,-632.86,0.13999999999998636,0.0
Affiliate Contracts,2023-03-01,-632.86,-633.0,-632.86,0.13999999999998636,0.0
Affiliate Contracts,2023-04-01,-648.68,-633.0,-648.68,-15.67999999999995,0.0
Affiliate Contracts,2023-05-01,-648.68,-633.0,-648.68,-15.67999999999995,0.0
Affiliate Contracts,2023-06-01,-649.0,-633.0,-649.0,-16.0,0.0
Affiliate Contracts,2023-07-01,,-633.0,-649.0,,
Affiliate Contracts,2023-08-01,,-633.0,84428.0,,
Affiliate Contracts,2023-09-01,,-633.0,85117.0,,
Affiliate Contracts,2023-10-01,,-633.0,85073.0,,
Affiliate Contracts,2023-11-01,,-633.0,84804.0,,
Affiliate Contracts,2023-12-01,,-633.0,85214.0,,
Building Rent,2022-01-01,164531.25,164531.25,164531.25,0.0,0.0
Building Rent,2022-02-01,164531.25,164531.25,164531.25,0.0,0.0
Building Rent,2022-03-01,164531.25,164531.25,164531.25,0.0,0.0
Building Rent,2022-04-01,164531.25,164531.25,164531.25,0.0,0.0
Building Rent,2022-05-01,164531.25,164531.25,164531.25,0.0,0.0
Building Rent,2022-06-01,164531.25,164531.25,164531.25,0.0,0.0
Building Rent,2022-07-01,165027.25,164531.25,164531.25,496.0,496.0
Building Rent,2022-08-01,164619.25,164531.25,164531.25,88.0,88.0
Building Rent,2022-09-01,163726.25,164531.25,164531.25,-805.0,-805.0
Building Rent,2022-10-01,165788.25,164531.25,164531.25,1257.0,1257.0
Building Rent,2022-11-01,166944.25,164531.25,164531.25,2413.0,2413.0
Building Rent,2022-12-01,162699.25,164531.25,164531.25,-1832.0,-1832.0
Building Rent,2023-01-01,168750.0,168750.0,168750.0,0.0,0.0
Building Rent,2023-02-01,168750.0,168750.0,168750.0,0.0,0.0
Building Rent,2023-03-01,168750.0,168750.0,168750.0,0.0,0.0
Building Rent,2023-04-01,168750.0,168750.0,168750.0,0.0,0.0
Building Rent,2023-05-01,168750.0,168750.0,168750.0,0.0,0.0
Building Rent,2023-06-01,168750.0,168750.0,168750.0,0.0,0.0
Building Rent,2023-07-01,,168750.0,168750.0,,
Building Rent,2023-08-01,,168750.0,10880.0,,
Building Rent,2023-09-01,,168750.0,10998.0,,
Building Rent,2023-10-01,,168750.0,11531.0,,
Building Rent,2023-11-01,,168750.0,11499.0,,
Building Rent,2023-12-01,,168750.0,11334.0,,
Building/Ground Maintenance,2022-01-01,876.48,10779.36,876.48,-9902.880000000001,0.0
Building/Ground Maintenance,2022-02-01,625.0,9833.33,625.0,-9208.33,0.0
Building/Ground Maintenance,2022-03-01,813.44,11132.66,813.44,-10319.22,0.0
Building/Ground Maintenance,2022-04-01,4955.0,12869.76,4955.0,-7914.76,0.0
Building/Ground Maintenance,2022-05-01,0.0,13345.91,0.0,-13345.91,0.0
Building/Ground Maintenance,2022-06-01,500.0,10649.97,500.0,-10149.97,0.0
